State,District,Year,Crop,Area,Production,Ratio,Avg Month Temp,annual-min,annual-max,min-temp,max-temp,month,week
Maharashtra,Ratnagiri,1902,Rice,97077,509260,5.245938791,23.765,25.59,27.95,24.74,22.79,april,one 
Maharashtra,Ratnagiri,1902,Rice,71839,481191,6.698186222,24.76,21.85,17.66,24.49,25.03,april,two 
Maharashtra,Ratnagiri,1902,Rice,64173,336993,5.251320649,23.615,25.42,19.17,19.88,27.35,april,three
Maharashtra,Ratnagiri,1902,Rice,54315,523949,9.646488079,22.11,23.01,28.79,21.28,22.94,april,four
Maharashtra,Ratnagiri,1902,Rice,79081,915283,11.57399375,29.275,17.56,22.7,29.58,28.97,may,one 
Maharashtra,Ratnagiri,1902,Rice,83357,615517,7.384106914,16.27,25.33,27.61,15.02,17.52,may,two 
Maharashtra,Ratnagiri,1902,Rice,78585,243107,3.09355475,24.57,22.23,18.41,24.55,24.59,may,three
Maharashtra,Ratnagiri,1902,Rice,87920,481550,5.477138308,25.45,21.56,21.49,27.32,23.58,may,four
Maharashtra,Ratnagiri,1902,Rice,56717,323978,5.712185059,22.59,22.14,25.52,18.18,27,june,one 
Maharashtra,Ratnagiri,1902,Rice,97419,952154,9.773801825,18.205,25.94,20.75,17.9,18.51,june,two 
Maharashtra,Ratnagiri,1902,Rice,55302,206730,3.73820115,20.575,22.6,27.82,18.17,22.98,june,three
Maharashtra,Ratnagiri,1902,Rice,87101,745298,8.556710026,19.45,21.94,18.32,15.4,23.5,june,four
Maharashtra,Ratnagiri,1902,Rice,95439,281839,2.953079978,24.09,23.96,22.62,21.27,26.91,july,one 
Maharashtra,Ratnagiri,1902,Rice,90437,734031,8.116489932,19.955,27.42,16.37,22.46,17.45,july,two 
Maharashtra,Ratnagiri,1902,Rice,59873,877075,14.64892355,23.795,16.86,29.65,18.88,28.71,july,three
Maharashtra,Ratnagiri,1902,Rice,66770,703785,10.54043732,21.125,26.19,19.17,24.32,17.93,july,four
Maharashtra,Ratnagiri,1902,Rice,93553,520073,5.559126912,21.885,28.48,23.63,21.06,22.71,august,one 
Maharashtra,Ratnagiri,1902,Rice,98030,547472,5.584739366,20.26,21.46,24.81,17.96,22.56,august,two 
Maharashtra,Ratnagiri,1902,Rice,76706,613795,8.001916408,22.28,22.83,17.15,23.15,21.41,august,three
Maharashtra,Ratnagiri,1902,Rice,73288,560528,7.648291671,17.755,25.03,16.59,19.54,15.97,august,four
Maharashtra,Ratnagiri,1902,Rice,53607,262657,4.899677281,24.415,19.24,28.8,27.37,21.46,september,one 
Maharashtra,Ratnagiri,1902,Rice,66528,400335,6.017541486,22.765,17.89,27.53,27.25,18.28,september,two 
Maharashtra,Ratnagiri,1902,Rice,63185,643316,10.18146712,21.625,20.09,28.85,26.98,16.27,september,three
Maharashtra,Ratnagiri,1902,Rice,84126,392808,4.669281792,20.3,16.19,20.82,20.96,19.64,september,four
Maharashtra,Ratnagiri,1902,Rice,65893,236501,3.589167286,24.355,28.97,15.2,25.86,22.85,october,one 
Maharashtra,Ratnagiri,1902,Rice,87248,583639,6.689425546,19.665,17.79,16.42,17.54,21.79,october,two 
Maharashtra,Ratnagiri,1902,Rice,92540,429791,4.644380808,21.75,17.56,25.25,17.32,26.18,october,three
Maharashtra,Ratnagiri,1902,Rice,81080,284121,3.504205723,25.995,22.35,18.39,27.38,24.61,october,four
Maharashtra,Ratnagiri,1902,Rice,98799,802003,8.117521432,26.47,16.49,23.44,26.58,26.36,november,one 
Maharashtra,Ratnagiri,1902,Rice,72744,493115,6.778772132,23.43,18.55,28.93,23.08,23.78,november,two 
Maharashtra,Ratnagiri,1902,Rice,80015,929675,11.61875898,22.645,24.36,17.71,24.77,20.52,november,three
Maharashtra,Ratnagiri,1902,Rice,90823,495536,5.456062892,20.415,18.35,25.87,21.61,19.22,november,four
Maharashtra,Ratnagiri,1902,Rice,78515,853843,10.87490288,26.205,23.46,26.65,25.04,27.37,december,one 
Maharashtra,Ratnagiri,1902,Rice,77210,316942,4.104934594,16.29,26.21,15.09,15.88,16.7,december,two 
Maharashtra,Ratnagiri,1902,Rice,68535,660231,9.63348654,23.68,25.17,26.41,25.62,21.74,december,three
Maharashtra,Ratnagiri,1902,Rice,55010,304203,5.529958189,23.46,15.08,29.7,20.29,26.63,december,four
Maharashtra,Ratnagiri,1903,Rice,63558,851518,13.3974952,20.315,17.44,26.2,16.31,24.32,january ,one 
Maharashtra,Ratnagiri,1903,Rice,59399,507133,8.537736326,22.32,18.27,20.75,23.16,21.48,january ,two 
Maharashtra,Ratnagiri,1903,Rice,76945,646802,8.406030281,23.59,23.05,15.39,26.07,21.11,january ,three
Maharashtra,Ratnagiri,1903,Rice,78270,854084,10.91202249,23.38,24.47,15.16,21.86,24.9,january ,four
Maharashtra,Ratnagiri,1903,Rice,77600,288566,3.718634021,27.48,19.52,17.82,29.79,25.17,february ,one 
Maharashtra,Ratnagiri,1903,Rice,68554,374263,5.459389678,16.515,15.42,20.08,15.01,18.02,february ,two 
Maharashtra,Ratnagiri,1903,Rice,91515,603830,6.598153308,23.9,20.69,29.27,24.96,22.84,february ,three
Maharashtra,Ratnagiri,1903,Rice,70340,498337,7.084688655,26.08,29.53,24.83,28.21,23.95,february ,four
Maharashtra,Ratnagiri,1903,Rice,77826,786735,10.10889677,23.37,21.47,19.38,18.11,28.63,march ,one 
Maharashtra,Ratnagiri,1903,Rice,83328,758633,9.104178667,22.675,16.64,18.35,17.93,27.42,march ,two 
Maharashtra,Ratnagiri,1903,Rice,71444,896313,12.54567213,21.525,21.43,15.18,18.95,24.1,march ,three
Maharashtra,Ratnagiri,1903,Rice,52953,934995,17.65707325,25.345,25.12,29.18,29.52,21.17,march ,four
Maharashtra,Ratnagiri,1903,Rice,95164,891216,9.365054012,20.65,19.21,28.67,20.94,20.36,april,one 
Maharashtra,Ratnagiri,1903,Rice,87768,419393,4.778427217,17.445,26.16,21.78,17.37,17.52,april,two 
Maharashtra,Ratnagiri,1903,Rice,81264,368259,4.531637626,15.46,28.28,23.99,15.26,15.66,april,three
Maharashtra,Ratnagiri,1903,Rice,77122,452110,5.862270169,24.47,25.53,29.17,21.21,27.73,april,four
Maharashtra,Ratnagiri,1903,Rice,70229,919934,13.09906164,19.34,16.54,26.64,20.13,18.55,may,one 
Maharashtra,Ratnagiri,1903,Rice,73530,777499,10.57390181,28.185,27.14,28.73,29.9,26.47,may,two 
Maharashtra,Ratnagiri,1903,Rice,75496,465613,6.167386352,18.06,21.1,25.65,15.52,20.6,may,three
Maharashtra,Ratnagiri,1903,Rice,52763,629199,11.92500426,28.385,28.26,22.15,29.25,27.52,may,four
Maharashtra,Ratnagiri,1903,Rice,72156,550932,7.635290205,27.225,23.86,18.96,27.59,26.86,june,one 
Maharashtra,Ratnagiri,1903,Rice,58455,632197,10.81510564,23.885,17.63,16.05,17.93,29.84,june,two 
Maharashtra,Ratnagiri,1903,Rice,97456,512010,5.253755541,26.355,19.31,23.41,29.94,22.77,june,three
Maharashtra,Ratnagiri,1903,Rice,85077,358877,4.218261105,23.525,26.56,24.41,18.27,28.78,june,four
Maharashtra,Ratnagiri,1903,Rice,64313,432884,6.73089422,17.775,25.89,27.13,16.45,19.1,july,one 
Maharashtra,Ratnagiri,1903,Rice,84368,546495,6.477515172,16.07,28.61,23.39,16.24,15.9,july,two 
Maharashtra,Ratnagiri,1903,Rice,57361,234444,4.087167239,20.555,21.95,17.46,17.51,23.6,july,three
Maharashtra,Ratnagiri,1903,Rice,92085,698402,7.584318836,21.445,25.08,29.38,16.48,26.41,july,four
Maharashtra,Ratnagiri,1903,Rice,52440,828979,15.80814264,23.55,23.82,24.89,25.35,21.75,august,one 
Maharashtra,Ratnagiri,1903,Rice,92881,236140,2.542392954,17.82,17.64,22.94,16.8,18.84,august,two 
Maharashtra,Ratnagiri,1903,Rice,84091,976659,11.61431069,25.705,23.66,23.85,26.42,24.99,august,three
Maharashtra,Ratnagiri,1903,Rice,80641,693813,8.603725152,23.335,15.48,22.34,16.94,29.73,august,four
Maharashtra,Ratnagiri,1903,Rice,95369,930844,9.760446267,21.04,27.76,28.35,16.29,25.79,september,one 
Maharashtra,Ratnagiri,1903,Rice,53246,641080,12.03996544,21.77,22.81,25.69,22.74,20.8,september,two 
Maharashtra,Ratnagiri,1903,Rice,71923,602414,8.375818584,29.035,22.21,21.08,29.27,28.8,september,three
Maharashtra,Ratnagiri,1903,Rice,54662,300172,5.491419999,24.305,19.09,27.39,27.98,20.63,september,four
Maharashtra,Ratnagiri,1903,Rice,91404,378057,4.136110017,17.875,17.61,20.18,16.8,18.95,october,one 
Maharashtra,Ratnagiri,1903,Rice,93747,651396,6.94844635,18.9,29.69,18.7,19.65,18.15,october,two 
Maharashtra,Ratnagiri,1903,Rice,68803,557645,8.104951819,23.685,18.92,25.58,26.34,21.03,october,three
Maharashtra,Ratnagiri,1903,Rice,54628,547545,10.02315662,19.83,28.17,22.49,20.01,19.65,october,four
Maharashtra,Ratnagiri,1903,Rice,61070,438446,7.179400688,19.815,28.39,26.89,18.76,20.87,november,one 
Maharashtra,Ratnagiri,1903,Rice,65431,845716,12.92531063,18.805,26.53,18.74,18.05,19.56,november,two 
Maharashtra,Ratnagiri,1903,Rice,79830,253539,3.175986471,21.26,27.85,22.13,26.12,16.4,november,three
Maharashtra,Ratnagiri,1903,Rice,55048,673538,12.23546723,21.7,15.75,16.74,15.26,28.14,november,four
Maharashtra,Ratnagiri,1903,Rice,96778,297894,3.078116927,26.7,16.59,26.77,24.84,28.56,december,one 
Maharashtra,Ratnagiri,1903,Rice,72442,821026,11.3335634,22.27,27.31,25.51,16.7,27.84,december,two 
Maharashtra,Ratnagiri,1903,Rice,68318,660964,9.674814836,22.81,29.45,27.49,17.96,27.66,december,three
Maharashtra,Ratnagiri,1903,Rice,79438,593701,7.473765704,24.88,24.49,18.02,25.2,24.56,december,four
Maharashtra,Ratnagiri,1904,Rice,81392,719985,8.845893945,28.51,20.62,25.91,27.59,29.43,january ,one 
Maharashtra,Ratnagiri,1904,Rice,94403,756733,8.015984662,24.625,19.49,28.63,20.38,28.87,january ,two 
Maharashtra,Ratnagiri,1904,Rice,98227,364079,3.706506358,27.445,20.1,27.43,27.79,27.1,january ,three
Maharashtra,Ratnagiri,1904,Rice,58454,918956,15.72101139,18.98,19.25,20.46,20.66,17.3,january ,four
Maharashtra,Ratnagiri,1904,Rice,86802,593819,6.84107509,18.88,22.04,15.34,21.7,16.06,february ,one 
Maharashtra,Ratnagiri,1904,Rice,84482,743682,8.802845577,22.945,23.09,15.92,15.91,29.98,february ,two 
Maharashtra,Ratnagiri,1904,Rice,72366,799766,11.05168173,23.455,23.13,25.2,23.27,23.64,february ,three
Maharashtra,Ratnagiri,1904,Rice,61113,858426,14.04653674,23.845,15.57,21.44,24.65,23.04,february ,four
Maharashtra,Ratnagiri,1904,Rice,58395,227256,3.891703057,19.435,27.21,15.71,19.22,19.65,march ,one 
Maharashtra,Ratnagiri,1904,Rice,87614,277260,3.164562741,24.305,19.35,17.5,19.85,28.76,march ,two 
Maharashtra,Ratnagiri,1904,Rice,80320,329131,4.097746514,19.3,18.31,26.17,15.35,23.25,march ,three
Maharashtra,Ratnagiri,1904,Rice,60464,454948,7.52427891,22.425,17.54,18.42,18.09,26.76,march ,four
Maharashtra,Ratnagiri,1904,Rice,80075,622874,7.778632532,29.1,27.7,23.97,28.61,29.59,april,one 
Maharashtra,Ratnagiri,1904,Rice,60004,397688,6.627691487,16.985,27.56,19.44,18.07,15.9,april,two 
Maharashtra,Ratnagiri,1904,Rice,80069,848808,10.60095667,24.83,26.3,22.66,28.84,20.82,april,three
Maharashtra,Ratnagiri,1904,Rice,89917,412723,4.590044152,22.105,20.8,19.15,23.61,20.6,april,four
Maharashtra,Ratnagiri,1904,Rice,81629,770029,9.433277389,25.925,28.87,26.4,23.29,28.56,may,one 
Maharashtra,Ratnagiri,1904,Rice,77732,277760,3.573303144,18.11,29.41,20.61,15.52,20.7,may,two 
Maharashtra,Ratnagiri,1904,Rice,83664,703434,8.407845668,20.165,18.93,25.9,17.33,23,may,three
Maharashtra,Ratnagiri,1904,Rice,53362,812733,15.23055733,24.235,23.99,19.64,25.22,23.25,may,four
Maharashtra,Ratnagiri,1904,Rice,62506,908723,14.53817234,24.92,15.24,16.65,20.78,29.06,june,one 
Maharashtra,Ratnagiri,1904,Rice,93555,746146,7.975479664,20.525,24.07,24.57,25.25,15.8,june,two 
Maharashtra,Ratnagiri,1904,Rice,63977,858428,13.41775951,21.715,16.2,19.97,23.18,20.25,june,three
Maharashtra,Ratnagiri,1904,Rice,97928,412424,4.211502328,24.925,18.84,28.74,20.44,29.41,june,four
Maharashtra,Ratnagiri,1904,Rice,87050,348518,4.003653073,21.5,17.32,20.88,27.46,15.54,july,one 
Maharashtra,Ratnagiri,1904,Rice,95383,554596,5.814411373,16.125,21.58,27.88,15.52,16.73,july,two 
Maharashtra,Ratnagiri,1904,Rice,67547,821674,12.16447807,22.89,20.65,28.97,23.32,22.46,july,three
Maharashtra,Ratnagiri,1904,Rice,95229,550087,5.776465152,25.565,27.11,25.4,29.13,22,july,four
Maharashtra,Ratnagiri,1904,Rice,67756,341458,5.039524175,27.66,22.14,28.78,28.49,26.83,august,one 
Maharashtra,Ratnagiri,1904,Rice,86689,906062,10.45186817,19.84,22.97,29.09,24.04,15.64,august,two 
Maharashtra,Ratnagiri,1904,Rice,90991,479739,5.272378587,22.16,21.05,28.55,20.65,23.67,august,three
Maharashtra,Ratnagiri,1904,Rice,71704,376292,5.247852282,25.21,22.28,23.92,25.73,24.69,august,four
Maharashtra,Ratnagiri,1904,Rice,95924,297254,3.098849089,26.34,19.15,16.17,27.86,24.82,september,one 
Maharashtra,Ratnagiri,1904,Rice,95919,696862,7.265109102,17.495,19.37,22.69,17.48,17.51,september,two 
Maharashtra,Ratnagiri,1904,Rice,55115,731554,13.2732287,28.57,29.06,18.44,28.83,28.31,september,three
Maharashtra,Ratnagiri,1904,Rice,95127,784082,8.242475848,19.17,29.72,16.8,16.55,21.79,september,four
Maharashtra,Ratnagiri,1904,Rice,90054,296852,3.296377729,20.05,24.13,24.25,20.64,19.46,october,one 
Maharashtra,Ratnagiri,1904,Rice,76561,249308,3.256331553,23.235,16.46,24.08,28.89,17.58,october,two 
Maharashtra,Ratnagiri,1904,Rice,50676,598482,11.80996922,20.245,16.26,21.04,16.41,24.08,october,three
Maharashtra,Ratnagiri,1904,Rice,84847,810150,9.548363525,28.075,21.16,22.43,29.4,26.75,october,four
Maharashtra,Ratnagiri,1904,Rice,71583,782108,10.92589023,20.56,28.37,21.43,21.51,19.61,november,one 
Maharashtra,Ratnagiri,1904,Rice,65598,798526,12.17302357,18.77,18.29,16.28,17.09,20.45,november,two 
Maharashtra,Ratnagiri,1904,Rice,79867,935161,11.70897868,21.825,22.84,23.36,19.49,24.16,november,three
Maharashtra,Ratnagiri,1904,Rice,50581,880891,17.41545244,22.24,17.72,25.91,17.25,27.23,november,four
Maharashtra,Ratnagiri,1904,Rice,79045,468528,5.927357834,22.755,22.41,15.53,16.86,28.65,december,one 
Maharashtra,Ratnagiri,1904,Rice,89648,299774,3.343900589,20.955,17.51,28.44,20.24,21.67,december,two 
Maharashtra,Ratnagiri,1904,Rice,92892,270589,2.912941911,21.525,26.64,28.19,20.78,22.27,december,three
Maharashtra,Ratnagiri,1904,Rice,98928,218261,2.206261119,21.33,21.57,27.15,26.52,16.14,december,four
Maharashtra,Ratnagiri,1905,Rice,51699,923878,17.87032631,19.085,26.5,15.54,22.35,15.82,january ,one 
Maharashtra,Ratnagiri,1905,Rice,71423,519264,7.270263081,20.895,18.14,19.28,20.76,21.03,january ,two 
Maharashtra,Ratnagiri,1905,Rice,73695,880570,11.94884321,21.38,24.35,27.09,16.13,26.63,january ,three
Maharashtra,Ratnagiri,1905,Rice,60729,202068,3.327372425,21.415,23.42,20.93,27.02,15.81,january ,four
Maharashtra,Ratnagiri,1905,Rice,59115,819086,13.85580648,27.275,24.64,26.34,27.98,26.57,february ,one 
Maharashtra,Ratnagiri,1905,Rice,58036,910924,15.69584396,17.95,15.65,17.14,20.66,15.24,february ,two 
Maharashtra,Ratnagiri,1905,Rice,97252,480024,4.935877925,27.24,26.46,19.89,29.42,25.06,february ,three
Maharashtra,Ratnagiri,1905,Rice,84717,428703,5.060412904,17.81,19.12,21.72,15.88,19.74,february ,four
Maharashtra,Ratnagiri,1905,Rice,64813,489820,7.557434465,21.485,27.35,19.65,27.06,15.91,march ,one 
Maharashtra,Ratnagiri,1905,Rice,93529,813617,8.699087983,17.61,20.34,19.37,17.46,17.76,march ,two 
Maharashtra,Ratnagiri,1905,Rice,95752,777394,8.118827805,26.62,25.39,20.65,26.15,27.09,march ,three
Maharashtra,Ratnagiri,1905,Rice,78709,201496,2.560012197,21.675,20.61,22.59,20.11,23.24,march ,four
Maharashtra,Ratnagiri,1905,Rice,70567,854546,12.10971134,28.54,26.69,29.4,29.46,27.62,april,one 
Maharashtra,Ratnagiri,1905,Rice,81650,891078,10.91338641,25.025,16.42,22.43,23.27,26.78,april,two 
Maharashtra,Ratnagiri,1905,Rice,92814,514863,5.547255802,18.435,21.53,25.02,20,16.87,april,three
Maharashtra,Ratnagiri,1905,Rice,86995,779265,8.957583769,25.395,15.91,26.95,28.55,22.24,april,four
Maharashtra,Ratnagiri,1905,Rice,84991,490542,5.771693473,23.19,26.31,17.76,23.72,22.66,may,one 
Maharashtra,Ratnagiri,1905,Rice,91032,430027,4.723910273,16.6,19.27,16.34,17.68,15.52,may,two 
Maharashtra,Ratnagiri,1905,Rice,91576,225507,2.462512012,18.72,21.98,19.05,20.84,16.6,may,three
Maharashtra,Ratnagiri,1905,Rice,95370,854490,8.959735766,21.78,21.81,19.14,24,19.56,may,four
Maharashtra,Ratnagiri,1905,Rice,78054,691251,8.856061188,21.435,26.64,26.46,22.71,20.16,june,one 
Maharashtra,Ratnagiri,1905,Rice,63439,289569,4.564526553,16.795,25.99,22.98,16.48,17.11,june,two 
Maharashtra,Ratnagiri,1905,Rice,54366,681341,12.53248354,19.46,20.3,24.56,18.43,20.49,june,three
Maharashtra,Ratnagiri,1905,Rice,91775,453876,4.945529828,19.545,27.97,23.57,21.31,17.78,june,four
Maharashtra,Ratnagiri,1905,Rice,71308,509391,7.143532282,28.13,16.75,16.21,27.31,28.95,july,one 
Maharashtra,Ratnagiri,1905,Rice,64461,940191,14.58542374,24.825,26.26,19.18,28.61,21.04,july,two 
Maharashtra,Ratnagiri,1905,Rice,69624,205767,2.955403309,21.505,21.84,22.25,18.15,24.86,july,three
Maharashtra,Ratnagiri,1905,Rice,85802,684196,7.974126477,24.115,19.78,24.69,25.8,22.43,july,four
Maharashtra,Ratnagiri,1905,Rice,82034,850985,10.37356462,20.545,15.85,23.92,20.03,21.06,august,one 
Maharashtra,Ratnagiri,1905,Rice,54855,918835,16.75025066,21.885,15.56,16.93,27.33,16.44,august,two 
Maharashtra,Ratnagiri,1905,Rice,84373,360216,4.269327866,22.205,16.13,22.7,26.86,17.55,august,three
Maharashtra,Ratnagiri,1905,Rice,51957,407189,7.83703832,27.065,28.83,25.27,25.8,28.33,august,four
Maharashtra,Ratnagiri,1905,Rice,68944,654569,9.494212694,22.08,20.05,28.61,27.83,16.33,september,one 
Maharashtra,Ratnagiri,1905,Rice,50346,208825,4.147797243,25.02,27.8,23.77,25.18,24.86,september,two 
Maharashtra,Ratnagiri,1905,Rice,93668,457690,4.886300551,27,18.57,18.67,25.77,28.23,september,three
Maharashtra,Ratnagiri,1905,Rice,53901,336711,6.246841432,21.725,28.71,15.14,24.91,18.54,september,four
Maharashtra,Ratnagiri,1905,Rice,50736,663382,13.07517345,19.865,19.53,24.64,23.76,15.97,october,one 
Maharashtra,Ratnagiri,1905,Rice,69039,278703,4.036892191,25.565,23.76,24.26,29.36,21.77,october,two 
Maharashtra,Ratnagiri,1905,Rice,82645,948563,11.47756065,21.955,24.58,20.68,27.65,16.26,october,three
Maharashtra,Ratnagiri,1905,Rice,75396,339612,4.50437689,18.9,18.76,25.83,17.88,19.92,october,four
Maharashtra,Ratnagiri,1905,Rice,52199,780206,14.94676143,20.555,18.63,18.4,16.45,24.66,november,one 
Maharashtra,Ratnagiri,1905,Rice,51877,453427,8.740424466,22.4,29.22,15.9,23.13,21.67,november,two 
Maharashtra,Ratnagiri,1905,Rice,97926,858013,8.761850785,25.75,19.49,16.23,29.49,22.01,november,three
Maharashtra,Ratnagiri,1905,Rice,73618,264115,3.587641609,22.265,25.41,17.46,17.83,26.7,november,four
